ID	es
qc_this_language	Español
qc_ptm_general_yes	Si
qc_ptm_general_no	No
qc_ptm_general_greeting	¡Hola!
qc_ptm_general_thanks	¡Gracias!
qc_ptm_general_apology	Lo siento...
qc_ptm_general_curse	$#@%!
qc_ptm_general_forgive	No hay problema.
qc_ptm_general_acknowledged	Entendido.
qc_ptm_general_goodgame_normal	gg
qc_ptm_general_goodgame_toxic	ggez
qc_ptm_general_bye	Hasta luego!
qc_ptm_general_brb	Denme un momento, me llaman.
qc_ptm_general_nokeyboard	AFK
qc_ptm_general_leaving_soon	Después me tendré que ir.
qc_ptm_general_leaving_last_game	Este es mi ultimo atraco que juego.
qc_ptm_general_healembargo	Por favor no me cures- Mi build se juega con poca vida.
qc_ptm_general_achievementhunting	Estoy completando logros.
qc_ptm_comms_claim	¡Lo tengo!
qc_ptm_comms_help	¡Ayúdenme!
qc_ptm_comms_follow	¡Sígueme!
qc_ptm_comms_attack	¡Atacar!
qc_ptm_comms_defend	¡Defiendan el objetivo!
qc_ptm_comms_regroup	¡Necesitamos reagruparnos!
qc_ptm_comms_reviving	¡Lo voy a ayudar!
qc_ptm_comms_comehere	¡Vengan aquí!
qc_ptm_comms_caution	¡Cuidado!
qc_ptm_comms_opening_door	¡Voy a abrir esta puerta!
qc_ptm_comms_jammed_drill	¡El taladro esta averiado!
qc_ptm_comms_jammed_hack	¡Detuvieron el hackeo!
qc_ptm_direction_left	¡Izquierda!
qc_ptm_direction_right	¡Derecha!
qc_ptm_direction_up	¡Arriba!
qc_ptm_direction_down	¡Abajo!
qc_ptm_direction_forward	¡Adelante!
qc_ptm_direction_backward	¡Atrás!
qc_ptm_tactic_ask_stealth	¿Lo hacemos en sigilo?
qc_ptm_tactic_ask_hybrid	¿Haremos esta parte en sigilo?
qc_ptm_tactic_ask_loud	¿Lo haremos en asalto?
qc_ptm_tactic_suggest_stealth	¡Vamos en sigilo!
qc_ptm_tactic_suggest_hybrid	¡Hagamos esta parte en sigilo!
qc_ptm_tactic_suggest_loud	¡Vamos en asalto!
qc_ptm_need_docbag	¡Necesito un Botiquín Medico!
qc_ptm_need_fak	¡Necesito un Botiquín de Primeros Auxilios!
qc_ptm_need_ammo	¡Necesito una Bolsa de Munición!
qc_ptm_need_ecm	¡Coloca el ECM!
qc_ptm_need_sentrygun	¡Coloca la Sentry aquí!
qc_ptm_need_sentrygun_silent	¡Coloca la Sentry Silenciada aquí!
qc_ptm_need_tripmine	¡Coloca la Mina Explosiva aquí!
qc_ptm_need_shapedcharge	¡Coloca la C4 aquí!
qc_ptm_need_bodybags	¡Necesito Bolsas para Cadáveres!
qc_ptm_need_grenades	¡Coloca la Bolsa de Artillería aquí!
qc_ptm_need_convert	¡Necesito un Convertido!
qc_ptm_need_ties	¡Necesito que amarres a este rehén!
qc_equipment_ties	Bridas para amarrar civiles.
qc_ptm_enemy_sniper	¡Sniper!
qc_ptm_enemy_cloaker	¡Cloaker!
qc_ptm_enemy_taser	¡Taser!
qc_ptm_enemy_dozer	¡Bulldozer!
qc_ptm_enemy_medic	¡Medic Enemigo!
qc_ptm_enemy_shield	¡Shield!
qc_ptm_enemy_winters	¡Capitán Winters!
qc_ptm_enemy_msniper	¡Sniper Marshal!
qc_ptm_enemy_mshield	¡Escudo Marshal!
qc_ptm_enemy_swatturret	¡Torreta SWAT!
qc_wp_look	Mira Aquí
qc_wp_go	Vamos
qc_wp_bag	Bolsa
qc_wp_kill	Matarlo
qc_wp_deploy	Aquí
qc_wp_interact	Usar
qc_wp_defend	Defender
qc_wp_avoid	Evitar
qc_hud_needs_something_template	Necesito…
qc_alert_player_gcw	[$USERNAME] esta usando Goonmod's Custom Waypoints. La sincronizacion esta limitada.
qc_alert_player_registered_version_match	Conectado con [$USERNAME]. Listo para sincronizar waypoints.
qc_alert_player_registered_version_mismatch	No se pudo conectar con [$USERNAME]. (Versiones distintas: [Su versión: $PEER_VERSION] [Tu versión: $YOUR_VERSION])
qc_error_chat_rate_limited	¡Estas enviando muchos mensajes! Por favor espera $COOLDOWN segundos.
qc_controller_pc	Ratón + Teclado
qc_controller_xbox360	Mando de Xbox 360
qc_controller_xb1	Mando de Xbox One
qc_controller_ps3	Mando de PlayStation 3
qc_controller_ps4	Mando de PlayStation 4
qc_controller_vr	Mando VR
qc_controller_steam	Mando de Steam
qc_controller_gamepad	Mando Generico
qc_menu_main_title	QuickChat
qc_menu_main_desc	Editar ajustes del QuickChat
qc_menu_binds_title	Editar teclas
qc_menu_binds_desc	Reasignar teclas customizadas para el QuickChat
qc_menu_settings_title	Editar ajustes
qc_menu_settings_desc	Configurar ajustes y opciones
qc_menu_keybind_radial_title	Radial: [$NAME]
qc_menu_keybind_radial_desc	Abre el menu radial para enviar un mensaje o un waypoint.
qc_menu_keybind_quick_ping_title	Quick Ping
qc_menu_keybind_quick_ping_desc	Coloca instantáneamente un Waypoint al lugar que estas observando.
qc_menu_keybind_clear_my_waypoints_title	Eliminar mis Waypoints
qc_menu_keybind_clear_my_waypoints_desc	Elimina todos los Waypoints colocados por ti.
qc_menu_keybind_clear_all_waypoints_title	Eliminar todos los Waypoints
qc_menu_keybind_clear_all_waypoints_desc	Elimina todos los Waypoints en pantalla.
qc_menu_keybind_modifier_force_position_title	Tecla Extra: Waypoint Estático
qc_menu_keybind_modifier_force_position_desc	Mientras se mantiene presionado, obliga a que cualquier Waypoint que coloques sea solo una posición estática.
qc_menu_keybind_modifier_force_timer_title	Tecla Extra: Waypoint con Temporizador
qc_menu_keybind_modifier_force_timer_desc	Mientras se mantiene presionado, cualquier Waypoint que coloques tendrá un temporizador.
qc_menu_keybind_modifier_secondary_interact_title	Tecla Extra: Forzar Segunda Interacción
qc_menu_keybind_modifier_secondary_interact_desc	Mientras se mantiene presionado y al usar una tecla asignada a un Waypoint, te permite eliminar tus Waypoints o reconocer los Waypoints de tus compañeros.
qc_menu_status_on	Activado
qc_menu_status_off	Desactivado
qc_menu_dialog_accept	Aceptar
qc_menu_bind_prompt_unbind	Eliminar tecla
qc_menu_dialog_cancel	Cancelar
qc_menu_bind_prompt_unbound_title	Tecla sin asignar
qc_menu_bind_prompt_unbound_desc	Quitar la tecla [$KEYNAME] asignada a [$ACTION].
qc_menu_bind_prompt_conflict_title	Conflicto de teclas
qc_menu_bind_prompt_conflict_desc	No puedes asignar la tecla [$KEYNAME]: esta tecla ya esta asignada a [$ACTION].
qc_menu_bind_prompt_keyboard_title	Asignar una tecla del teclado
qc_menu_bind_prompt_keyboard_desc	Esperando una respuesta del teclado...\nPresiona un botón del teclado para asignar.\nO presiona [$BTN_UNBIND] para quitar asignación.\nO presiona [$BTN_CANCEL] para cancelar.
qc_menu_bind_prompt_controller_title	Asignar una tecla del mando
qc_menu_bind_prompt_controller_desc	Esperando una respuesta del mando...\nPresiona un botón del mando para asignar.\nO presiona [$BTN_UNBIND] para quitar asignación.\nO presiona [$BTN_CANCEL] para cancelar.
qc_bind_status_success_title	Completado
qc_bind_status_success_desc	Asignaste [$ACTION] a [$KEYNAME].
qc_bind_status_unbound	[Sin Asignar]
qc_bind_status_title	Asignar a: [$KEYNAME]
qc_bind_status_desc	Haz click para asignar un botón...
qc_menu_customize_radial_title	Customizar Menu Radial.
qc_menu_customize_radial_desc	Haz click para customizar un Menu Radial.
qc_menu_customize_voiceline_title	Comando de voz
qc_menu_customize_voiceline_desc	Sonara una línea de voz asignada cuando esta opción este activada.
qc_menu_customize_anim_title	Gestos
qc_menu_customize_anim_desc	Se reproducirá una animación asignada de tu brazo en primera-persona cuando esta opción este activada.
qc_menu_waypoint_timer_title	Temporizador
qc_menu_waypoint_timer_desc	Asigna un temporizador a este Waypoints. Asignar esto en 0 segundos lo desactivara.
qc_menu_waypoint_icon_title	Icono
qc_menu_waypoint_icon_desc	El icono asignado a este Waypoints.
qc_menu_waypoint_label_title	Etiqueta
qc_menu_waypoint_label_desc	El texto predeterminado asignado aparecerá para este Waypoints
qc_menu_ptm_title	Mensaje Pre-Traducido
qc_menu_ptm_desc	Un mensaje retraducido será enviado al chat. Otros usuarios con QuickChat podrán ver el mensaje en su respectivo idioma.
qc_menu_waypoint_title	Waypoints
qc_menu_waypoint_desc	Un marcador asignado en el HUD que mostrara una posición, persona, o algún objeto de interés, colocado por un jugador.
qc_menu_waypoints_ping_sound_enabled_title	Sonido de alerta
qc_menu_waypoints_ping_sound_enabled_desc	Reproduce un sonido cuando alguien coloque un nuevo Waypoints.
qc_menu_waypoints_acknowledged_sound_enabled_title	Sonido de reconocimiento
qc_menu_waypoints_acknowledged_sound_enabled_desc	Reproduce un sonido cuando alguien reconozca cualquier Waypoints.
qc_menu_waypoints_unacknowledge_sound_enabled_title	Sonido de no reconocimiento
qc_menu_waypoints_unacknowledge_sound_enabled_desc	Reproduce un sonido cualquier alguien elimine su Waypoints reconocido.
qc_menu_waypoints_generic_sound_volume_title	Volumen del sonido
qc_menu_waypoints_generic_sound_volume_desc	Que tan fuerte es el sonido
qc_menu_waypoints_generic_sound_id_title	Archivo de sonido
qc_menu_waypoints_generic_sound_id_desc	Elige que sonido quiere que se reproduzca para este evento.
qc_menu_debug_logs_enabled_title	Debug logs
qc_menu_debug_logs_enabled_desc	Mensajes de prueba. Deja esto desactivo para un mejor rendimiento
qc_menu_compatibility_gcw_enabled_title	Compatibilidad: Goonmod's Custom Waypoints
qc_menu_compatibility_gcw_enabled_desc	Permite enviar/recibir Waypoints con compañeros que tengan Goonmod's Custom Waypoints.
qc_menu_waypoints_alert_on_registration_title	Notificar cuando un compañero tiene QuickChat
qc_menu_waypoints_alert_on_registration_desc	Muestra una notificación privada del sistema en el chat cuando un compañero con QuickChat se une a la partida.
qc_menu_waypoints_aim_dot_threshold_title	Sensibilidad de \"Remover/Reconocer\"
qc_menu_waypoints_aim_dot_threshold_desc	Que tan cerca necesitas apuntar a un Waypoint para eliminarlo o reconocerlo.
qc_menu_waypoints_attenuate_alpha_mode_title	Desvanecer Waypoints a la distancia
qc_menu_waypoints_attenuate_alpha_mode_desc	Desvanece los Waypoints para evitar que estorben en tu pantalla.
qc_menu_waypoints_attenuate_alpha_mode_option_hide_disabled	Visibles
qc_menu_waypoints_attenuate_alpha_mode_option_hide_center	No Centro
qc_menu_waypoints_attenuate_alpha_mode_option_hide_edges	No Bordes
qc_menu_waypoints_attenuate_alpha_min_title	Transparencia de los Waypoints
qc_menu_waypoints_attenuate_alpha_min_desc	Opacidad de los Waypoints a la distancia. Números grandes lo harán mas visible.
qc_menu_waypoints_attentuate_dot_threshold_title	Desvanecimiento de los Waypoints lejanos
qc_menu_waypoints_attentuate_dot_threshold_desc	La distancia de la pantalla a la que el Waypoint empezara a desvanecerse.
qc_menu_user_language_title	Idioma del Usuario
qc_menu_user_language_title_desc	Selecciona tu Idioma.
qc_menu_waypoints_auto_icon_title	Icono Automático
qc_menu_waypoints_auto_icon_desc	Para los Quick Pings, determina el icono del Waypoint automáticamente.
qc_menu_debug_draw_enabled_title	Debug logs
qc_menu_debug_draw_enabled_desc	Diagnostic messages for development or troubleshooting.