ID	tr
qc_this_language	Turkish
qc_ptm_general_yes	Evet
qc_ptm_general_no	Hayır
qc_ptm_general_greeting	Selam!
qc_ptm_general_thanks	Teşekkürler!
qc_ptm_general_apology	Özür dilerim...
qc_ptm_general_curse	Hay $#@%!
qc_ptm_general_forgive	Sorun değil.
qc_ptm_general_acknowledged	Anlaşıldı.
qc_ptm_general_goodgame_normal	gg
qc_ptm_general_goodgame_toxic	ggez
qc_ptm_general_bye	Görüşürüz!
qc_ptm_general_brb	Biraz uzaklaşmam gerek.
qc_ptm_general_nokeyboard	Klavyem yok! (Gerçekten)
qc_ptm_general_leaving_soon	Yakında gitmem gerek.
qc_ptm_general_leaving_last_game	Bu son soygunum olacak.
qc_ptm_general_healembargo	Lütfen beni iyileştirme- Düşük can gerektiren bir build kullanıyorum.
qc_ptm_general_achievementhunting	Başarım kasmaya çalışıyorum.
qc_ptm_comms_claim	O iş bende! / Ben hallederim.
qc_ptm_comms_help	Yardıma ihtiyacım var!
qc_ptm_comms_follow	Beni takip et!
qc_ptm_comms_attack	Saldır!
qc_ptm_comms_defend	Objektifi koru! / Objektifi koruyun!
qc_ptm_comms_regroup	Yeniden toplanmamız lazım!
qc_ptm_comms_reviving	Canlandırma işi bende!
qc_ptm_comms_comehere	Buraya gel!
qc_ptm_comms_caution	Dikkat et!
qc_ptm_comms_opening_door	Bu kapıyı ben açarım!
qc_ptm_comms_jammed_drill	Matkap sıkıştı!
qc_ptm_comms_jammed_hack	Hack ilerlemiyor!
qc_ptm_direction_left	Sol!
qc_ptm_direction_right	Sağ!
qc_ptm_direction_up	Yukarı!
qc_ptm_direction_down	Aşağı!
qc_ptm_direction_forward	İleri!
qc_ptm_direction_backward	Geri!
qc_ptm_tactic_ask_stealth	Gizli mi ilerliyoruz?
qc_ptm_tactic_ask_hybrid	Önce sessiz, sonra mı dalıyoruz?
qc_ptm_tactic_ask_loud	Dalıyor muyuz?
qc_ptm_tactic_suggest_stealth	Sessiz halledelim!
qc_ptm_tactic_suggest_hybrid	Önce sessiz gidelim, sonra dalarız!
qc_ptm_tactic_suggest_loud	Dalalım!
qc_ptm_need_docbag	Sağlık çantasına ihtiyacım var!
qc_ptm_need_fak	İlk yardım çantasına ihtiyacım var!
qc_ptm_need_ammo	Mermi Çantasına ihtiyacım var!
qc_ptm_need_ecm	ECM'i yerleştir!
qc_ptm_need_sentrygun	Buraya sentry koy!
qc_ptm_need_sentrygun_silent	Buraya susturuculu sentry koy!
qc_ptm_need_tripmine	Buraya trip mine koy!
qc_ptm_need_shapedcharge	Buraya patlayıcı koy!
qc_ptm_need_bodybags	Ceset torbalarına ihtiyacım var!
qc_ptm_need_grenades	Buraya el bombası kutusu koy!
qc_ptm_need_convert	Bir Joker'e ihtiyacım var!
qc_ptm_need_ties	Bu kişinin kabloyla bağlanması gerekiyor!
qc_equipment_ties	Kablo kelepçeleri
qc_ptm_enemy_sniper	Keskin nişancı!
qc_ptm_enemy_cloaker	Cloaker!
qc_ptm_enemy_taser	Şokçu!
qc_ptm_enemy_dozer	Buldozer!
qc_ptm_enemy_medic	Düşman sağlıkçı!
qc_ptm_enemy_shield	Kalkanlı düşman!
qc_ptm_enemy_winters	Kaptan Winters!
qc_ptm_enemy_msniper	Marshal Nişancısı!
qc_ptm_enemy_mshield	Kalkanlı Marshal!
qc_ptm_enemy_swatturret	SWAT Tareti!
qc_wp_look	Bak
qc_wp_go	Git
qc_wp_bag	Çantala
qc_wp_kill	Öldür
qc_wp_deploy	Yerleştir
qc_wp_interact	Etkileş
qc_wp_defend	Savun
qc_wp_avoid	Kaçın
qc_hud_needs_something_template	İhtiyacım var...
qc_alert_player_gcw	[$USERNAME] "Goonmod's Custom Waypoints" kullanıyor. Senkronizasyon sınırlı olabilir.
qc_alert_player_registered_version_match	[$USERNAME]'e bağlanıldı! Yönlendirmeleri senkronize etmeye hazır.
qc_alert_player_registered_version_mismatch	[$USERNAME] ile bağlantı kurulamadı. (Sürüm uyumsuzluğu: [onların: $PEER_VERSION] [senin: $YOUR_VERSION])
qc_error_chat_rate_limited	Çok hızlı mesaj gönderiyorsun! Lütfen $COOLDOWN saniye kadar bekle.
qc_controller_pc	Fare + Klavye
qc_controller_xbox360	Xbox 360 Kontrolcüsü
qc_controller_xb1	Xbox One Kontrolcüsü
qc_controller_ps3	PlayStation 3 Kontrolcüsü
qc_controller_ps4	PlayStation 4 Kontrolcüsü
qc_controller_vr	VR Kontrolcüsü
qc_controller_steam	Steam Kontrolcüsü
qc_controller_gamepad	Genel Kontrolcü
qc_menu_main_title	HızlıSohbet
qc_menu_main_desc	HızlıSohbet Ayarlarını Değiştir.
qc_menu_binds_title	HızlıSohbet Atamalarını Değiştir.
qc_menu_binds_desc	QuickChat için özel tuş atamalarını yeniden yap
qc_menu_settings_title	Ayarları Değiştir.
qc_menu_settings_desc	Ayarları ve seçenekleri yapılandır (menü davranışları gibi).
qc_menu_keybind_radial_title	Dairesel Menü: [$NAME]
qc_menu_keybind_radial_desc	Mesajlar veya yönlendirmeler göndermek için dairesel menüyü açar.
qc_menu_keybind_quick_ping_title	Hızlı İşaretleme
qc_menu_keybind_quick_ping_desc	Baktığın yere anında yönlendirme yerleştir.
qc_menu_keybind_clear_my_waypoints_title	Yönlendirmelerimi Temizle
qc_menu_keybind_clear_my_waypoints_desc	Yerleştirmiş olduğun yönlendirmeleri temizler.
qc_menu_keybind_clear_all_waypoints_title	Tüm Yönlendirmeleri Temizle
qc_menu_keybind_clear_all_waypoints_desc	Tüm Yönlendirmeleri Kaldırır.
qc_menu_keybind_modifier_force_position_title	Modifier: Sadece Konumsal Yönlendirme
qc_menu_keybind_modifier_force_position_desc	Basılı tutarken, yerleştirdiğiniz yönlendirmelerin sadece sabit bir konumda olmasını sağlar (İşaret yok).
qc_menu_keybind_modifier_force_timer_title	Modifier: Yalnızca Zamanlayıcı Yönlendirmesi
qc_menu_keybind_modifier_force_timer_desc	Basılı tutarken, yerleştirdiğiniz yönlendirmelerin zamanlayıcıları olmasını sağlar.
qc_menu_keybind_modifier_secondary_interact_title	Modifier: İkincil Etkileşimi Zorla
qc_menu_keybind_modifier_secondary_interact_desc	Basılı tutarken, bir yönlendirme tuşuna basmak yalnızca kendi yönlendirmenizi kaldırmanıza veya bir takım arkadaşınızın yönlendirmesini onaylamanıza izin verir.
qc_menu_status_on	Aktif
qc_menu_status_off	Devre Dışı
qc_menu_dialog_accept	Tamam
qc_menu_bind_prompt_unbind	Tuş atamasını kaldır
qc_menu_dialog_cancel	İptal
qc_menu_bind_prompt_unbound_title	Buton atanmamış
qc_menu_bind_prompt_unbound_desc	[$KEYNAME] tuşu, [$ACTION] işleminden kaldırıldı.
qc_menu_bind_prompt_conflict_title	Tuş Atama Çakışması
qc_menu_bind_prompt_conflict_desc	[$KEYNAME] tuşu ataması yapılamadı: tuş zaten [$ACTION] işlemine atanmış.
qc_menu_bind_prompt_keyboard_title	Bir klavye tuşu atayın
qc_menu_bind_prompt_keyboard_desc	Klavye girişi bekleniyor...\nBağlamak için bir tuşa basın.\nVEYA [$BTN_UNBIND] tuşuna basarak atamayı kaldırın.\nVEYA [$BTN_CANCEL] tuşuna basarak iptal edin.
qc_menu_bind_prompt_controller_title	Bir kontrolcü tuşu atayın
qc_menu_bind_prompt_controller_desc	Kontrolcü girişi bekleniyor...\nBağlamak için bir kontrolcü tuşuna basın.\nVEYA [$BTN_UNBIND] tuşuna basarak atamayı kaldırın.\nVEYA [$BTN_CANCEL] tuşuna basarak iptal edin.
qc_bind_status_success_title	Başarılı
qc_bind_status_success_desc	[$ACTION] işlemi, [$KEYNAME] tuşuna atandı.
qc_bind_status_unbound	[Atanmamış]
qc_bind_status_title	[$KEYNAME]'e atandı
qc_bind_status_desc	Atamak için bir tuşa basın...
qc_menu_customize_radial_title	Dairesel Menüyü Özelleştir.
qc_menu_customize_radial_desc	Dairesel menüyü özelleştirmek için tıklayın.
qc_menu_customize_voiceline_title	Sesli komut
qc_menu_customize_voiceline_desc	Bu seçenek seçildiğinde çalan senkronize sesli komut.
qc_menu_customize_anim_title	El işareti
qc_menu_customize_anim_desc	Bu seçenek seçildiğinde oynatılan senkronize birinci şahıs kol animasyonu.
qc_menu_waypoint_timer_title	Zamanlayıcı
qc_menu_waypoint_timer_desc	Bu yönlendirme için senkronize geri sayım (saniye cinsinden). Devre dışı bırakmak için 0 olarak ayarlayın.
qc_menu_waypoint_icon_title	Simge
qc_menu_waypoint_icon_desc	Bu yönlendirme için senkronize simge.
qc_menu_waypoint_label_title	Etiket
qc_menu_waypoint_label_desc	Bu yönlendirmede görünecek senkronize metin ön ayarı.
qc_menu_ptm_title	Önceden Çevrilmiş Mesaj
qc_menu_ptm_desc	Sohbette gönderilecek önceden çevrilmiş bir mesaj. HızlıSohbet kullanan diğer kullanıcılar, mesajı kendi seçtikleri dilde görecekler.
qc_menu_waypoint_title	Yönlendirme
qc_menu_waypoint_desc	Bir oyuncu tarafından belirlenen, HUD'da konum, kişi veya önemli nesneleri gösteren senkronize işaret.
qc_menu_waypoints_ping_sound_enabled_title	Ping Sesi Aktif
qc_menu_waypoints_ping_sound_enabled_desc	Birisi yeni bir yönlendirme koyduğunda her seferinde bir ses çal.
qc_menu_waypoints_acknowledged_sound_enabled_title	Onaylanmış Ses Aktif
qc_menu_waypoints_acknowledged_sound_enabled_desc	Birisi herhangi bir yönlendirmeyi onayladığında her seferinde bir ses çal.
qc_menu_waypoints_unacknowledge_sound_enabled_title	Onaylanmamış Ses Etkin
qc_menu_waypoints_unacknowledge_sound_enabled_desc	Birisi yönlendirme onayını kaldırdığında her seferinde bir ses çal.
qc_menu_waypoints_generic_sound_volume_title	Ses
qc_menu_waypoints_generic_sound_volume_desc	Sesin yüksekliği
qc_menu_waypoints_generic_sound_id_title	Ses dosyası
qc_menu_waypoints_generic_sound_id_desc	Bu olay için hangi sesi çalacağınızı seçin.
qc_menu_debug_logs_enabled_title	Hata Ayıklama Görüntülemesi
qc_menu_debug_logs_enabled_desc	Geliştirme için yönlendirme ışınlarının görselleştirilmesi.
qc_menu_compatibility_gcw_enabled_title	Hata Ayıklama Kayıtları
qc_menu_compatibility_gcw_enabled_desc	Geliştirme veya sorun giderme için tanılama mesajları.
qc_menu_waypoints_alert_on_registration_title	Uyumluluk: Goonmod's Custom Waypoints
qc_menu_waypoints_alert_on_registration_desc	Goonmod's Custom Waypoints moduna sahip takım arkadaşlarınızla yönlendirme gönderme/alma izin ver.
qc_menu_waypoints_aim_dot_threshold_title	Takım arkadaşlarınız HızlıSohbet'e sahip olduğunda bildir
qc_menu_waypoints_aim_dot_threshold_desc	HızlıSohbet kullanan bir takım arkadaşı oyuna katıldığında sohbet içinde özel bir sistem bildirimi göster.
qc_menu_waypoints_attenuate_alpha_mode_title	\"Kaldır"/"Onayla" Hassasiyeti
qc_menu_waypoints_attenuate_alpha_mode_desc	Bir yönlendirmeye Kaldırmak veya Onaylamak için ne kadar yakın nişan almanız gerektiği.
qc_menu_waypoints_attenuate_alpha_mode_option_hide_disabled	Solan Yönlendirmeler
qc_menu_waypoints_attenuate_alpha_mode_option_hide_center	Yönlendirmeleri ekranı karıştırmamaları için soldurur.
qc_menu_waypoints_attenuate_alpha_mode_option_hide_edges	Her Zaman Göster
qc_menu_waypoints_attenuate_alpha_min_title	Merkez Solması
qc_menu_waypoints_attenuate_alpha_min_desc	Köşe Solması
qc_menu_waypoints_attentuate_dot_threshold_title	Solma Yönlendirme Şeffaflığı
qc_menu_waypoints_attentuate_dot_threshold_desc	Solmuş yönlendirmelerin opaklığı. Yüksek sayılar daha görünür yapar.
qc_menu_user_language_title	Yönlendirme Solma Eşiği (Uzak)
qc_menu_user_language_title_desc	Yönlendirmenin kaybolmaya başladığı ekran mesafesi.
qc_menu_waypoints_auto_icon_title	Kullanıcı Dili
qc_menu_waypoints_auto_icon_desc	Dili seçin.
qc_menu_debug_draw_enabled_title	Otomatik Simge
qc_menu_debug_draw_enabled_desc	Hızlı pingler için, yönlendirme simgesini otomatik olarak belirleyin.